City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,st. john's,47.5649,-52.7093,0.08,73,74,2.68,CA,1702843725
282,kabalo,-6.05,26.9167,22.59,95,100,0.46,CD,1702843725
283,comodoro rivadavia,-45.8667,-67.5,10.28,61,100,2.37,AR,1702843457
284,progreso,21.2833,-89.6667,26.06,60,12,7.41,MX,1702843518
285,yass,-34.8333,148.9167,18.35,86,70,2.2,AU,1702843726
286,borzya,50.3833,116.5167,-35.9,98,17,1.38,RU,1702843727
287,boca do acre,-8.7522,-67.3978,26.1,94,100,1.31,BR,1702843727
288,chongjin,41.7956,129.7758,-13.94,62,0,2.46,KP,1702843728
289,tanaina,61.6269,-149.4281,0.69,94,100,2.57,US,1702843728
290,rocha,-34.4833,-54.3333,34.21,49,58,2.63,UY,1702843552
291,zaozersk,69.4005,32.4476,-7.91,96,92,3.59,RU,1702843729
292,kolonia,50.9333,6.95,8.66,91,0,3.09,DE,1702843634
293,utena,55.5,25.6,4.14,98,100,7.03,LT,1702843299
294,santa marta de ortigueira,43.6833,-7.85,9.94,77,0,2.12,ES,1702843730
295,nguekhokh,14.5128,-17.005,28.49,16,100,3.09,SN,1702843446
296,leshan,29.5623,103.7639,4.02,62,99,0.87,CN,1702843494
297,aigues-mortes,43.5698,4.1871,5.57,81,0,1.03,FR,1702843731
298,hammerfest,70.6634,23.6821,1.25,86,40,5.66,NO,1702843508
299,saint-pierre,-21.3393,55.4781,25.82,69,0,2.57,RE,1702843451
300,bardai,11.65,7.2333,20.79,19,51,3.71,NG,1702843732
301,mana,5.6592,-53.7767,28.11,77,46,3.98,GF,1702843732
302,sabang,5.8933,95.3214,27.49,78,100,6.72,ID,1702843732
303,demba,-5.51,22.2667,21.29,98,100,0.29,CD,1702843733
304,cadale,2.7603,46.3222,26.7,77,98,10.85,SO,1702843733
305,ha'il,27.5219,41.6907,10.01,43,0,3.09,SA,1702843491
306,ciudad lazaro cardenas,17.9583,-102.2,29.61,64,5,4.11,MX,1702843734
307,cotonou,6.3654,2.4183,27.49,76,18,4.04,BJ,1702843734
308,tionk essil,12.7856,-16.5217,25.6,33,100,3.08,SN,1702843735
309,datong,40.0936,113.2914,-17.91,89,39,0.3,CN,1702843735
310,amga,60.8953,131.9608,-44.5,100,75,0.78,RU,1702843735
